['2023-01-02', 40350.25]
['2023-01-03', 40460.08]
['2023-01-04', 40457.13]
['2023-01-06', 40613.34]
['2023-01-09', 41183.08]
['2023-01-10', 41067.31]
['2023-01-11', 41346.54]
['2023-01-12', 41517.25]
['2023-01-13', 41500.4]
['2023-01-16', 41485.8]
['2023-01-17', 41450.4]
['2023-01-18', 41256.5]
['2023-01-19', 41130.89]
['2023-01-20', 41253.62]
['2023-01-23', 41021.06]
['2023-01-24', 41157.98]
['2023-01-25', 40916.14]
['2023-01-26', 41100.54]
['2023-01-27', 41101.42]
['2023-01-30', 40891.55]
['2023-01-31', 40820.6]
['2023-02-01', 40978.84]
['2023-02-02', 41249.95]
['2023-02-03', 41415.52]
['2023-02-06', 41846.07]
['2023-02-07', 41898.13]
abc
['2023-02-08', 42170.9]
['2023-02-09', 42237.24]
['2023-02-10', 42312.6]
['2023-02-13', 42899.26]
['2023-02-14', 42919.71]
['2023-02-15', 43100.8]
['2023-02-16', 43042.09]
['2023-02-17', 43197.05]
['2023-02-20', 43076.46]
['2023-02-21', 42897.63]
['2023-02-22', 42900.9]
['2023-02-23', 42750.44]
['2023-02-24', 42828.6]
['2023-02-27', 42659.51]
['2023-02-28', 42650.3]
['2023-03-01', 42529.9]
['2023-03-02', 42296.8]
['2023-03-03', 42389.27]
['2023-03-06', 41905.81]
['2023-03-07', 41888.05]
['2023-03-08', 41835.22]
['2023-03-09', 41925.46]
['2023-03-10', 41715.3]
['2023-03-13', 41493.59]
['2023-03-14', 41393.49]
['2023-03-15', 41200.5]
['2023-03-16', 41127.48]
['2023-03-17', 41081.14]
['2023-03-20', 41208.88]
['2023-03-21', 41050.95]
['2023-03-22', 41199.48]
['2023-03-24', 41103.25]
['2023-03-27', 41068.73]
['2023-03-28', 40998.71]
['2023-03-29', 40819.26]
['2023-03-30', 41006.66]
['2023-03-31', 40890.7]
['2023-04-03', 41026.56]
['2023-04-04', 41005.89]
['2023-04-05', 41209.87]
['2023-04-06', 41185.61]
['2023-04-07', 41460.41]
['2023-04-10', 41365.93]
['2023-04-11', 41608.3]
['2023-04-12', 41518.54]
['2023-04-13', 41697.44]
['2023-04-14', 41780.2]
['2023-04-17', 42022.84]
['2023-04-18', 42314.71]
['2023-04-19', 42312.21]
['2023-04-20', 42404.95]
['2023-04-26', 42967.65]
['2023-04-27', 43252.09]
['2023-04-28', 43250.0]
['2023-05-02', 43303.25]
